Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 17:43:29,2018-07-01 17:44:18,48.372s,FAILED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:43:31,2018-07-01 17:43:48,17.922s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:43:31,2018-07-01 17:43:46,15.484s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:43:46,2018-07-01 17:43:47,0.496s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:43:47,2018-07-01 17:43:47,0.404s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:43:47,2018-07-01 17:43:47,0.288s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:43:47,2018-07-01 17:43:48,0.375s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:43:48,2018-07-01 17:43:48,0.717s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:43:48,2018-07-01 17:44:01,12.088s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:43:49,2018-07-01 17:43:59,10.972s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:43:59,2018-07-01 17:44:00,0.117s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:44:00,2018-07-01 17:44:00,0.354s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:44:00,2018-07-01 17:44:00,0.214s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:44:00,2018-07-01 17:44:01,0.382s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:44:01,2018-07-01 17:44:01,0.001s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 17:44:01,2018-07-01 17:44:09,8.363s,PASSED
click,Firefox 61.0,,2018-07-01 17:44:01,2018-07-01 17:44:04,2.823s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 17:44:04,2018-07-01 17:44:05,0.720s,PASSED
click,Firefox 61.0,,2018-07-01 17:44:05,2018-07-01 17:44:06,0.875s,PASSED
