Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 12:58:18,2018-07-01 12:58:55,36.774s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 12:58:19,2018-07-01 12:58:31,11.576s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 12:58:19,2018-07-01 12:58:28,9.245s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 12:58:28,2018-07-01 12:58:29,0.178s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 12:58:29,2018-07-01 12:58:29,0.537s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 12:58:29,2018-07-01 12:58:29,0.311s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 12:58:29,2018-07-01 12:58:30,0.414s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 12:58:30,2018-07-01 12:58:31,0.659s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 12:58:31,2018-07-01 12:58:39,8.749s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 12:58:31,2018-07-01 12:58:38,7.885s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 12:58:38,2018-07-01 12:58:39,0.080s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 12:58:39,2018-07-01 12:58:39,0.272s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 12:58:39,2018-07-01 12:58:39,0.209s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 12:58:39,2018-07-01 12:58:39,0.282s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 12:58:39,2018-07-01 12:58:39,0.000s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 12:58:39,2018-07-01 12:58:46,6.181s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:40,2018-07-01 12:58:42,2.260s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 12:58:42,2018-07-01 12:58:42,0.378s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:42,2018-07-01 12:58:43,0.680s,PASSED
click,Firefox 61.0,select activity type,2018-07-01 12:58:43,2018-07-01 12:58:43,0.384s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:43,2018-07-01 12:58:44,0.292s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-01 12:58:44,2018-07-01 12:58:44,0.071s,PASSED
sendKeys,Firefox 61.0,press tab key,2018-07-01 12:58:44,2018-07-01 12:58:44,0.137s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:44,2018-07-01 12:58:44,0.312s,PASSED
setText,Firefox 61.0,enter endTime manually,2018-07-01 12:58:44,2018-07-01 12:58:44,0.055s,PASSED
setText,Firefox 61.0,enter cost,2018-07-01 12:58:44,2018-07-01 12:58:44,0.111s,PASSED
doubleClick,Firefox 61.0,select text field,2018-07-01 12:58:44,2018-07-01 12:58:45,0.266s,PASSED
setText,Firefox 61.0,enter description,2018-07-01 12:58:45,2018-07-01 12:58:45,0.282s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(2.NewActivity_Object_Repository/textarea_form-control ng-untou), ""value"")",Firefox 61.0,assert that description field text returned correctly,2018-07-01 12:58:45,2018-07-01 12:58:45,0.078s,PASSED
"Statement - assert attribute == ""description""",Firefox 61.0,,2018-07-01 12:58:45,2018-07-01 12:58:45,0.003s,PASSED
click,Firefox 61.0,submit button,2018-07-01 12:58:45,2018-07-01 12:58:46,0.434s,PASSED
,,,,,,
Test Cases/3.Create_Invoice/CreateInvoice_TestCase,Firefox 61.0,invoice creation of entered hours.,2018-07-01 12:58:46,2018-07-01 12:58:50,4.260s,PASSED
click,Firefox 61.0,Click on Manage menu,2018-07-01 12:58:46,2018-07-01 12:58:46,0.345s,PASSED
click,Firefox 61.0,Click on Invoivce sub menu,2018-07-01 12:58:46,2018-07-01 12:58:46,0.076s,PASSED
click,Firefox 61.0,Click on Create invoice link,2018-07-01 12:58:46,2018-07-01 12:58:47,0.386s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:47,2018-07-01 12:58:48,1.036s,PASSED
click,Firefox 61.0,check box is checked,2018-07-01 12:58:48,2018-07-01 12:58:48,0.288s,PASSED
setText,Firefox 61.0,Tax name entry,2018-07-01 12:58:48,2018-07-01 12:58:49,0.644s,PASSED
setText,Firefox 61.0,tax percentage,2018-07-01 12:58:49,2018-07-01 12:58:49,0.250s,PASSED
setText,Firefox 61.0,text on invoice is entered,2018-07-01 12:58:49,2018-07-01 12:58:49,0.197s,PASSED
setText,Firefox 61.0,hidden note is added,2018-07-01 12:58:49,2018-07-01 12:58:49,0.301s,PASSED
click,Firefox 61.0,create button is clicked,2018-07-01 12:58:49,2018-07-01 12:58:50,0.369s,PASSED
,,,,,,
Test Cases/4.TearDown/TearDown_TestCase,Firefox 61.0,teardown created data,2018-07-01 12:58:50,2018-07-01 12:58:53,3.577s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:50,2018-07-01 12:58:50,0.419s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:50,2018-07-01 12:58:51,0.302s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-01 12:58:51,2018-07-01 12:58:51,0.374s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:51,2018-07-01 12:58:51,0.321s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(4.Teardown_Object_Repository/td_col-md-2 text-right table-c), 20))",Firefox 61.0,,2018-07-01 12:58:51,2018-07-01 12:58:53,1.874s,PASSED
,,,,,,
Test Cases/5.Logout/Logout_TestCase,Firefox 61.0,logsout from system,2018-07-01 12:58:53,2018-07-01 12:58:55,1.892s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:54,2018-07-01 12:58:54,0.265s,PASSED
click,Firefox 61.0,,2018-07-01 12:58:54,2018-07-01 12:58:54,0.327s,PASSED
closeBrowser,Firefox 61.0,,2018-07-01 12:58:54,2018-07-01 12:58:55,0.996s,PASSED
