Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 09:58:22,2018-07-01 09:58:58,35.774s,FAILED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 09:58:23,2018-07-01 09:58:36,12.550s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 09:58:23,2018-07-01 09:58:34,10.519s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 09:58:34,2018-07-01 09:58:34,0.214s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 09:58:34,2018-07-01 09:58:35,0.476s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 09:58:35,2018-07-01 09:58:35,0.155s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 09:58:35,2018-07-01 09:58:35,0.318s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 09:58:35,2018-07-01 09:58:36,0.732s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 09:58:36,2018-07-01 09:58:46,10.092s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 09:58:36,2018-07-01 09:58:45,9.279s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 09:58:45,2018-07-01 09:58:45,0.079s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 09:58:45,2018-07-01 09:58:45,0.183s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 09:58:45,2018-07-01 09:58:46,0.198s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 09:58:46,2018-07-01 09:58:46,0.325s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 09:58:46,2018-07-01 09:58:46,0.001s,PASSED
,,,,,,
