Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 12:22:17,2018-07-01 12:22:52,34.691s,FAILED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 12:22:18,2018-07-01 12:22:30,11.476s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 12:22:18,2018-07-01 12:22:28,10.107s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 12:22:28,2018-07-01 12:22:29,0.236s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 12:22:29,2018-07-01 12:22:29,0.310s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 12:22:29,2018-07-01 12:22:29,0.141s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 12:22:29,2018-07-01 12:22:29,0.367s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 12:22:29,2018-07-01 12:22:30,0.198s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 12:22:30,2018-07-01 12:22:38,8.736s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 12:22:30,2018-07-01 12:22:38,7.898s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 12:22:38,2018-07-01 12:22:38,0.061s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 12:22:38,2018-07-01 12:22:38,0.178s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 12:22:38,2018-07-01 12:22:38,0.223s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 12:22:38,2018-07-01 12:22:38,0.307s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 12:22:38,2018-07-01 12:22:38,0.003s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 12:22:38,2018-07-01 12:22:45,6.572s,PASSED
click,Firefox 61.0,,2018-07-01 12:22:39,2018-07-01 12:22:41,2.088s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 12:22:41,2018-07-01 12:22:41,0.549s,PASSED
click,Firefox 61.0,,2018-07-01 12:22:41,2018-07-01 12:22:42,0.725s,PASSED
click,Firefox 61.0,select activity type,2018-07-01 12:22:42,2018-07-01 12:22:43,0.468s,PASSED
click,Firefox 61.0,,2018-07-01 12:22:43,2018-07-01 12:22:43,0.276s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-01 12:22:43,2018-07-01 12:22:43,0.086s,PASSED
sendKeys,Firefox 61.0,press tab key,2018-07-01 12:22:43,2018-07-01 12:22:43,0.135s,PASSED
click,Firefox 61.0,,2018-07-01 12:22:43,2018-07-01 12:22:43,0.281s,PASSED
setText,Firefox 61.0,enter endTime manually,2018-07-01 12:22:43,2018-07-01 12:22:44,0.095s,PASSED
setText,Firefox 61.0,enter cost,2018-07-01 12:22:44,2018-07-01 12:22:44,0.137s,PASSED
doubleClick,Firefox 61.0,select text field,2018-07-01 12:22:44,2018-07-01 12:22:44,0.301s,PASSED
setText,Firefox 61.0,enter description,2018-07-01 12:22:44,2018-07-01 12:22:44,0.241s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(2.NewActivity_Object_Repository/textarea_form-control ng-untou), ""value"")",Firefox 61.0,assert that description field text returned correctly,2018-07-01 12:22:44,2018-07-01 12:22:44,0.100s,PASSED
