Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 60.0,,2018-06-26 21:18:40,2018-06-26 21:18:57,17.099s,PASSED
,,,,,,
Test Cases/Login/Login_TestCase,Firefox 60.0,,2018-06-26 21:18:40,2018-06-26 21:18:50,10.142s,PASSED
openBrowser,Firefox 60.0,,2018-06-26 21:18:41,2018-06-26 21:18:47,5.755s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-26 21:18:47,2018-06-26 21:18:49,2.945s,PASSED
waitForElementVisible,Firefox 60.0,,2018-06-26 21:18:49,2018-06-26 21:18:50,0.162s,PASSED
setText,Firefox 60.0,,2018-06-26 21:18:50,2018-06-26 21:18:50,0.344s,PASSED
setText,Firefox 60.0,,2018-06-26 21:18:50,2018-06-26 21:18:50,0.187s,PASSED
sendKeys,Firefox 60.0,,2018-06-26 21:18:50,2018-06-26 21:18:50,0.128s,PASSED
,,,,,,
Test Cases/TrackActivity/NewActivity_TestCase,Firefox 60.0,,2018-06-26 21:18:50,2018-06-26 21:18:56,5.923s,PASSED
click,Firefox 60.0,,2018-06-26 21:18:51,2018-06-26 21:18:53,2.094s,PASSED
click,Firefox 60.0,,2018-06-26 21:18:53,2018-06-26 21:18:53,0.471s,PASSED
click,Firefox 60.0,,2018-06-26 21:18:53,2018-06-26 21:18:54,0.589s,PASSED
click,Firefox 60.0,,2018-06-26 21:18:54,2018-06-26 21:18:54,0.344s,PASSED
waitForElementPresent,Firefox 60.0,,2018-06-26 21:18:54,2018-06-26 21:18:54,0.077s,PASSED
click,Firefox 60.0,,2018-06-26 21:18:54,2018-06-26 21:18:55,0.277s,PASSED
click,Firefox 60.0,,2018-06-26 21:18:55,2018-06-26 21:18:55,0.245s,PASSED
setText,Firefox 60.0,,2018-06-26 21:18:55,2018-06-26 21:18:55,0.056s,PASSED
setText,Firefox 60.0,,2018-06-26 21:18:55,2018-06-26 21:18:55,0.189s,PASSED
setText,Firefox 60.0,,2018-06-26 21:18:55,2018-06-26 21:18:55,0.177s,PASSED
click,Firefox 60.0,,2018-06-26 21:18:55,2018-06-26 21:18:56,0.298s,PASSED
setText,Firefox 60.0,,2018-06-26 21:18:56,2018-06-26 21:18:56,0.237s,PASSED
click,Firefox 60.0,,2018-06-26 21:18:56,2018-06-26 21:18:56,0.320s,PASSED
