Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 17:41:37,2018-07-01 17:42:37,1m - 0.079s,FAILED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:41:38,2018-07-01 17:41:58,20.464s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:41:38,2018-07-01 17:41:55,17.491s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:41:55,2018-07-01 17:41:56,0.444s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:41:56,2018-07-01 17:41:56,0.848s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:41:56,2018-07-01 17:41:57,0.374s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:41:57,2018-07-01 17:41:57,0.408s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:41:57,2018-07-01 17:41:58,0.745s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:41:58,2018-07-01 17:42:21,22.489s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:41:58,2018-07-01 17:42:19,21.399s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:42:19,2018-07-01 17:42:20,0.098s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:42:20,2018-07-01 17:42:20,0.484s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:42:20,2018-07-01 17:42:20,0.135s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:42:20,2018-07-01 17:42:21,0.312s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:42:21,2018-07-01 17:42:21,0.001s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 17:42:21,2018-07-01 17:42:29,8.616s,PASSED
click,Firefox 61.0,,2018-07-01 17:42:21,2018-07-01 17:42:24,2.838s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 17:42:24,2018-07-01 17:42:25,1.153s,PASSED
click,Firefox 61.0,,2018-07-01 17:42:25,2018-07-01 17:42:26,0.808s,PASSED
click,Firefox 61.0,select activity type,2018-07-01 17:42:26,2018-07-01 17:42:27,0.413s,PASSED
click,Firefox 61.0,,2018-07-01 17:42:27,2018-07-01 17:42:27,0.289s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-01 17:42:27,2018-07-01 17:42:27,0.069s,PASSED
sendKeys,Firefox 61.0,press tab key,2018-07-01 17:42:27,2018-07-01 17:42:27,0.184s,PASSED
click,Firefox 61.0,,2018-07-01 17:42:27,2018-07-01 17:42:27,0.256s,PASSED
setText,Firefox 61.0,enter endTime manually,2018-07-01 17:42:27,2018-07-01 17:42:27,0.066s,PASSED
setText,Firefox 61.0,enter cost,2018-07-01 17:42:27,2018-07-01 17:42:27,0.126s,PASSED
doubleClick,Firefox 61.0,select text field,2018-07-01 17:42:28,2018-07-01 17:42:28,0.398s,PASSED
setText,Firefox 61.0,enter description,2018-07-01 17:42:28,2018-07-01 17:42:28,0.420s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(2.NewActivity_Object_Repository/textarea_form-control ng-untou), ""value"")",Firefox 61.0,assert that description field text returned correctly,2018-07-01 17:42:28,2018-07-01 17:42:28,0.166s,PASSED
"Statement - assert attribute == ""description""",Firefox 61.0,,2018-07-01 17:42:28,2018-07-01 17:42:28,0.001s,PASSED
click,Firefox 61.0,submit button,2018-07-01 17:42:28,2018-07-01 17:42:29,0.658s,PASSED
,,,,,,
Test Cases/3.Create_Invoice/CreateInvoice_TestCase,Firefox 61.0,invoice creation of entered hours.,2018-07-01 17:42:29,2018-07-01 17:42:34,4.414s,PASSED
click,Firefox 61.0,Click on Manage menu,2018-07-01 17:42:30,2018-07-01 17:42:30,0.342s,PASSED
click,Firefox 61.0,Click on Invoivce sub menu,2018-07-01 17:42:30,2018-07-01 17:42:30,0.059s,PASSED
click,Firefox 61.0,Click on Create invoice link,2018-07-01 17:42:30,2018-07-01 17:42:30,0.475s,PASSED
click,Firefox 61.0,,2018-07-01 17:42:30,2018-07-01 17:42:31,0.947s,PASSED
click,Firefox 61.0,check box is checked,2018-07-01 17:42:31,2018-07-01 17:42:32,0.281s,PASSED
setText,Firefox 61.0,Tax name entry,2018-07-01 17:42:32,2018-07-01 17:42:33,1.110s,PASSED
setText,Firefox 61.0,tax percentage,2018-07-01 17:42:33,2018-07-01 17:42:33,0.158s,PASSED
setText,Firefox 61.0,text on invoice is entered,2018-07-01 17:42:33,2018-07-01 17:42:33,0.141s,PASSED
setText,Firefox 61.0,hidden note is added,2018-07-01 17:42:33,2018-07-01 17:42:33,0.214s,PASSED
click,Firefox 61.0,create button is clicked,2018-07-01 17:42:33,2018-07-01 17:42:34,0.293s,PASSED
,,,,,,
Test Cases/4.TearDown/TearDown_TestCase,Firefox 61.0,teardown created data,2018-07-01 17:42:34,2018-07-01 17:42:35,1.524s,FAILED
click,Firefox 61.0,,2018-07-01 17:42:34,2018-07-01 17:42:34,0.352s,PASSED
click,Firefox 61.0,,2018-07-01 17:42:34,2018-07-01 17:42:35,0.290s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-01 17:42:35,2018-07-01 17:42:35,0.051s,PASSED
click,Firefox 61.0,,2018-07-01 17:42:35,2018-07-01 17:42:35,0.454s,FAILED
,,,,,,
Test Cases/5.Logout/Logout_TestCase,Firefox 61.0,logsout from system,2018-07-01 17:42:35,2018-07-01 17:42:37,1.694s,PASSED
click,Firefox 61.0,,2018-07-01 17:42:36,2018-07-01 17:42:36,0.310s,PASSED
click,Firefox 61.0,,2018-07-01 17:42:36,2018-07-01 17:42:36,0.258s,PASSED
closeBrowser,Firefox 61.0,,2018-07-01 17:42:36,2018-07-01 17:42:37,0.436s,PASSED
