Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 16:58:04,2018-07-01 16:58:52,47.936s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 16:58:05,2018-07-01 16:58:22,16.832s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 16:58:05,2018-07-01 16:58:19,13.578s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 16:58:19,2018-07-01 16:58:19,0.309s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 16:58:19,2018-07-01 16:58:20,0.557s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 16:58:20,2018-07-01 16:58:20,0.439s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 16:58:20,2018-07-01 16:58:21,0.454s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 16:58:21,2018-07-01 16:58:22,1.329s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 16:58:22,2018-07-01 16:58:33,10.560s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 16:58:22,2018-07-01 16:58:31,9.126s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 16:58:31,2018-07-01 16:58:31,0.109s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 16:58:31,2018-07-01 16:58:32,0.449s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 16:58:32,2018-07-01 16:58:32,0.216s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 16:58:32,2018-07-01 16:58:33,0.620s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 16:58:33,2018-07-01 16:58:33,0.001s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 16:58:33,2018-07-01 16:58:42,9.428s,PASSED
click,Firefox 61.0,,2018-07-01 16:58:34,2018-07-01 16:58:36,2.689s,PASSED
