Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 17:50:19,2018-07-01 17:51:14,55.454s,FAILED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:50:20,2018-07-01 17:50:38,18.317s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:50:20,2018-07-01 17:50:35,14.969s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:50:35,2018-07-01 17:50:35,0.332s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:50:35,2018-07-01 17:50:36,0.753s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:50:36,2018-07-01 17:50:36,0.225s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:50:36,2018-07-01 17:50:37,0.549s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:50:37,2018-07-01 17:50:38,1.304s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:50:38,2018-07-01 17:50:56,18.426s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:50:38,2018-07-01 17:50:55,16.876s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:50:55,2018-07-01 17:50:55,0.075s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:50:55,2018-07-01 17:50:56,0.757s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:50:56,2018-07-01 17:50:56,0.325s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:50:56,2018-07-01 17:50:56,0.310s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:50:56,2018-07-01 17:50:56,0.001s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 17:50:56,2018-07-01 17:51:06,9.316s,PASSED
click,Firefox 61.0,,2018-07-01 17:50:57,2018-07-01 17:51:00,2.758s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 17:51:00,2018-07-01 17:51:01,0.898s,PASSED
click,Firefox 61.0,,2018-07-01 17:51:01,2018-07-01 17:51:02,0.752s,PASSED
click,Firefox 61.0,select activity type,2018-07-01 17:51:02,2018-07-01 17:51:02,0.554s,PASSED
click,Firefox 61.0,,2018-07-01 17:51:02,2018-07-01 17:51:03,0.317s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-01 17:51:03,2018-07-01 17:51:03,0.154s,PASSED
sendKeys,Firefox 61.0,press tab key,2018-07-01 17:51:03,2018-07-01 17:51:03,0.567s,PASSED
click,Firefox 61.0,,2018-07-01 17:51:03,2018-07-01 17:51:04,0.330s,PASSED
setText,Firefox 61.0,enter endTime manually,2018-07-01 17:51:04,2018-07-01 17:51:04,0.063s,PASSED
setText,Firefox 61.0,enter cost,2018-07-01 17:51:04,2018-07-01 17:51:04,0.225s,PASSED
doubleClick,Firefox 61.0,select text field,2018-07-01 17:51:04,2018-07-01 17:51:05,0.511s,PASSED
setText,Firefox 61.0,enter description,2018-07-01 17:51:05,2018-07-01 17:51:05,0.192s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(2.NewActivity_Object_Repository/textarea_form-control ng-untou), ""value"")",Firefox 61.0,assert that description field text returned correctly,2018-07-01 17:51:05,2018-07-01 17:51:05,0.092s,PASSED
"Statement - assert attribute == ""description""",Firefox 61.0,,2018-07-01 17:51:05,2018-07-01 17:51:05,0.003s,PASSED
