Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 14:04:35,2018-07-01 14:05:10,35.560s,ERROR
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 14:04:35,2018-07-01 14:04:47,11.089s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 14:04:36,2018-07-01 14:04:45,9.887s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 14:04:45,2018-07-01 14:04:46,0.210s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 14:04:46,2018-07-01 14:04:46,0.292s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 14:04:46,2018-07-01 14:04:46,0.153s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 14:04:46,2018-07-01 14:04:46,0.329s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 14:04:46,2018-07-01 14:04:47,0.142s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 14:04:47,2018-07-01 14:04:55,8.429s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 14:04:47,2018-07-01 14:04:54,7.623s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 14:04:54,2018-07-01 14:04:54,0.068s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 14:04:54,2018-07-01 14:04:54,0.172s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 14:04:54,2018-07-01 14:04:55,0.247s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 14:04:55,2018-07-01 14:04:55,0.293s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 14:04:55,2018-07-01 14:04:55,0.000s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 14:04:55,2018-07-01 14:05:01,6.078s,PASSED
