Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 14:11:12,2018-07-01 14:11:46,34.514s,ERROR
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 14:11:12,2018-07-01 14:11:23,11.255s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 14:11:12,2018-07-01 14:11:22,9.393s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 14:11:22,2018-07-01 14:11:22,0.195s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 14:11:22,2018-07-01 14:11:22,0.350s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 14:11:22,2018-07-01 14:11:22,0.196s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 14:11:22,2018-07-01 14:11:23,0.372s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 14:11:23,2018-07-01 14:11:23,0.640s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 14:11:23,2018-07-01 14:11:31,7.890s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 14:11:23,2018-07-01 14:11:31,7.096s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 14:11:31,2018-07-01 14:11:31,0.074s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 14:11:31,2018-07-01 14:11:31,0.184s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 14:11:31,2018-07-01 14:11:31,0.213s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 14:11:31,2018-07-01 14:11:31,0.301s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 14:11:31,2018-07-01 14:11:31,0.000s,PASSED
,,,,,,
