Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 18:36:48,2018-07-01 18:38:19,1m - 30.767s,FAILED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 18:36:49,2018-07-01 18:37:09,20.064s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 18:36:49,2018-07-01 18:37:06,17.303s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 18:37:06,2018-07-01 18:37:07,0.425s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 18:37:07,2018-07-01 18:37:07,0.405s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 18:37:07,2018-07-01 18:37:07,0.171s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 18:37:07,2018-07-01 18:37:08,0.443s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 18:37:08,2018-07-01 18:37:09,1.202s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 18:37:09,2018-07-01 18:37:28,18.484s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 18:37:09,2018-07-01 18:37:27,17.595s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 18:37:27,2018-07-01 18:37:27,0.086s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 18:37:27,2018-07-01 18:37:27,0.196s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 18:37:27,2018-07-01 18:37:27,0.271s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 18:37:27,2018-07-01 18:37:28,0.313s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 18:37:28,2018-07-01 18:37:28,0.000s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 18:37:28,2018-07-01 18:37:38,10.072s,PASSED
click,Firefox 61.0,,2018-07-01 18:37:28,2018-07-01 18:37:33,4.541s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 18:37:33,2018-07-01 18:37:34,1.161s,PASSED
click,Firefox 61.0,,2018-07-01 18:37:34,2018-07-01 18:37:35,0.837s,PASSED
click,Firefox 61.0,select activity type,2018-07-01 18:37:35,2018-07-01 18:37:35,0.406s,PASSED
click,Firefox 61.0,,2018-07-01 18:37:35,2018-07-01 18:37:35,0.290s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-01 18:37:35,2018-07-01 18:37:36,0.119s,PASSED
sendKeys,Firefox 61.0,press tab key,2018-07-01 18:37:36,2018-07-01 18:37:36,0.187s,PASSED
click,Firefox 61.0,,2018-07-01 18:37:36,2018-07-01 18:37:36,0.277s,PASSED
setText,Firefox 61.0,enter endTime manually,2018-07-01 18:37:36,2018-07-01 18:37:36,0.097s,PASSED
setText,Firefox 61.0,enter cost,2018-07-01 18:37:36,2018-07-01 18:37:36,0.125s,PASSED
doubleClick,Firefox 61.0,select text field,2018-07-01 18:37:36,2018-07-01 18:37:37,0.225s,PASSED
setText,Firefox 61.0,enter description,2018-07-01 18:37:37,2018-07-01 18:37:37,0.348s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(2.NewActivity_Object_Repository/textarea_form-control ng-untou), ""value"")",Firefox 61.0,assert that description field text returned correctly,2018-07-01 18:37:37,2018-07-01 18:37:37,0.063s,PASSED
"Statement - assert attribute == ""description""",Firefox 61.0,,2018-07-01 18:37:37,2018-07-01 18:37:37,0.005s,PASSED
click,Firefox 61.0,submit button,2018-07-01 18:37:37,2018-07-01 18:37:38,0.732s,PASSED
,,,,,,
Test Cases/3.Create_Invoice/CreateInvoice_TestCase,Firefox 61.0,invoice creation of entered hours.,2018-07-01 18:37:38,2018-07-01 18:37:43,5.122s,PASSED
