Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 17:34:15,2018-07-01 17:35:06,51.084s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:34:16,2018-07-01 17:34:33,16.541s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:34:16,2018-07-01 17:34:30,14.249s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:34:30,2018-07-01 17:34:31,0.253s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:34:31,2018-07-01 17:34:31,0.496s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:34:31,2018-07-01 17:34:31,0.281s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:34:31,2018-07-01 17:34:32,0.346s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:34:32,2018-07-01 17:34:33,0.748s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:34:33,2018-07-01 17:34:47,14.605s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:34:33,2018-07-01 17:34:46,13.504s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:34:46,2018-07-01 17:34:46,0.125s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:34:46,2018-07-01 17:34:47,0.345s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:34:47,2018-07-01 17:34:47,0.235s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:34:47,2018-07-01 17:34:47,0.343s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:34:47,2018-07-01 17:34:47,0.001s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 17:34:47,2018-07-01 17:34:55,7.839s,PASSED
click,Firefox 61.0,,2018-07-01 17:34:48,2018-07-01 17:34:51,2.664s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 17:34:51,2018-07-01 17:34:51,0.750s,PASSED
click,Firefox 61.0,,2018-07-01 17:34:51,2018-07-01 17:34:52,0.849s,PASSED
click,Firefox 61.0,select activity type,2018-07-01 17:34:52,2018-07-01 17:34:53,0.581s,PASSED
click,Firefox 61.0,,2018-07-01 17:34:53,2018-07-01 17:34:53,0.318s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-01 17:34:53,2018-07-01 17:34:53,0.114s,PASSED
sendKeys,Firefox 61.0,press tab key,2018-07-01 17:34:53,2018-07-01 17:34:53,0.192s,PASSED
click,Firefox 61.0,,2018-07-01 17:34:53,2018-07-01 17:34:54,0.270s,PASSED
setText,Firefox 61.0,enter endTime manually,2018-07-01 17:34:54,2018-07-01 17:34:54,0.080s,PASSED
setText,Firefox 61.0,enter cost,2018-07-01 17:34:54,2018-07-01 17:34:54,0.126s,PASSED
doubleClick,Firefox 61.0,select text field,2018-07-01 17:34:54,2018-07-01 17:34:54,0.319s,PASSED
setText,Firefox 61.0,enter description,2018-07-01 17:34:54,2018-07-01 17:34:54,0.266s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(2.NewActivity_Object_Repository/textarea_form-control ng-untou), ""value"")",Firefox 61.0,assert that description field text returned correctly,2018-07-01 17:34:54,2018-07-01 17:34:54,0.052s,PASSED
"Statement - assert attribute == ""description""",Firefox 61.0,,2018-07-01 17:34:54,2018-07-01 17:34:54,0.001s,PASSED
click,Firefox 61.0,submit button,2018-07-01 17:34:54,2018-07-01 17:34:55,0.593s,PASSED
,,,,,,
Test Cases/3.Create_Invoice/CreateInvoice_TestCase,Firefox 61.0,invoice creation of entered hours.,2018-07-01 17:34:55,2018-07-01 17:35:00,4.868s,PASSED
click,Firefox 61.0,Click on Manage menu,2018-07-01 17:34:56,2018-07-01 17:34:56,0.270s,PASSED
click,Firefox 61.0,Click on Invoivce sub menu,2018-07-01 17:34:56,2018-07-01 17:34:56,0.107s,PASSED
click,Firefox 61.0,Click on Create invoice link,2018-07-01 17:34:56,2018-07-01 17:34:57,0.565s,PASSED
click,Firefox 61.0,,2018-07-01 17:34:57,2018-07-01 17:34:58,1.196s,PASSED
click,Firefox 61.0,check box is checked,2018-07-01 17:34:58,2018-07-01 17:34:58,0.264s,PASSED
setText,Firefox 61.0,Tax name entry,2018-07-01 17:34:58,2018-07-01 17:34:59,0.666s,PASSED
setText,Firefox 61.0,tax percentage,2018-07-01 17:34:59,2018-07-01 17:34:59,0.243s,PASSED
setText,Firefox 61.0,text on invoice is entered,2018-07-01 17:34:59,2018-07-01 17:34:59,0.268s,PASSED
setText,Firefox 61.0,hidden note is added,2018-07-01 17:34:59,2018-07-01 17:35:00,0.393s,PASSED
click,Firefox 61.0,create button is clicked,2018-07-01 17:35:00,2018-07-01 17:35:00,0.306s,PASSED
,,,,,,
Test Cases/4.TearDown/TearDown_TestCase,Firefox 61.0,teardown created data,2018-07-01 17:35:00,2018-07-01 17:35:04,4.323s,PASSED
click,Firefox 61.0,,2018-07-01 17:35:01,2018-07-01 17:35:01,0.550s,PASSED
click,Firefox 61.0,,2018-07-01 17:35:01,2018-07-01 17:35:01,0.368s,PASSED
waitForElementPresent,Firefox 61.0,,2018-07-01 17:35:01,2018-07-01 17:35:02,0.325s,PASSED
click,Firefox 61.0,,2018-07-01 17:35:02,2018-07-01 17:35:02,0.192s,PASSED
"Statement - While (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(4.Teardown_Object_Repository/td_col-md-2 text-right table-c), 20) == true)",Firefox 61.0,,2018-07-01 17:35:02,2018-07-01 17:35:04,2.301s,PASSED
,,,,,,
Test Cases/5.Logout/Logout_TestCase,Firefox 61.0,logsout from system,2018-07-01 17:35:04,2018-07-01 17:35:06,1.729s,PASSED
click,Firefox 61.0,,2018-07-01 17:35:05,2018-07-01 17:35:05,0.298s,PASSED
click,Firefox 61.0,,2018-07-01 17:35:05,2018-07-01 17:35:05,0.301s,PASSED
closeBrowser,Firefox 61.0,,2018-07-01 17:35:05,2018-07-01 17:35:06,0.696s,PASSED
