Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 60.0,,2018-06-26 21:12:10,2018-06-26 21:12:58,47.842s,FAILED
,,,,,,
Test Cases/Login/Login_TestCase,Firefox 60.0,,2018-06-26 21:12:11,2018-06-26 21:12:21,10.913s,PASSED
openBrowser,Firefox 60.0,,2018-06-26 21:12:11,2018-06-26 21:12:17,5.655s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-26 21:12:17,2018-06-26 21:12:21,3.925s,PASSED
waitForElementVisible,Firefox 60.0,,2018-06-26 21:12:21,2018-06-26 21:12:21,0.164s,PASSED
setText,Firefox 60.0,,2018-06-26 21:12:21,2018-06-26 21:12:21,0.283s,PASSED
setText,Firefox 60.0,,2018-06-26 21:12:21,2018-06-26 21:12:21,0.144s,PASSED
sendKeys,Firefox 60.0,,2018-06-26 21:12:21,2018-06-26 21:12:21,0.128s,PASSED
,,,,,,
Test Cases/TrackActivity/NewActivity_TestCase,Firefox 60.0,,2018-06-26 21:12:21,2018-06-26 21:12:57,35.722s,FAILED
click,Firefox 60.0,,2018-06-26 21:12:22,2018-06-26 21:12:24,1.919s,PASSED
click,Firefox 60.0,,2018-06-26 21:12:24,2018-06-26 21:12:24,0.499s,PASSED
click,Firefox 60.0,,2018-06-26 21:12:24,2018-06-26 21:12:25,0.455s,PASSED
click,Firefox 60.0,,2018-06-26 21:12:25,2018-06-26 21:12:25,0.476s,PASSED
waitForElementPresent,Firefox 60.0,,2018-06-26 21:12:25,2018-06-26 21:12:25,0.044s,PASSED
click,Firefox 60.0,,2018-06-26 21:12:25,2018-06-26 21:12:26,0.280s,PASSED
setText,Firefox 60.0,,2018-06-26 21:12:26,2018-06-26 21:12:26,0.057s,PASSED
click,Firefox 60.0,,2018-06-26 21:12:26,2018-06-26 21:12:26,0.257s,PASSED
setText,Firefox 60.0,,2018-06-26 21:12:26,2018-06-26 21:12:26,0.123s,PASSED
setText,Firefox 60.0,,2018-06-26 21:12:26,2018-06-26 21:12:26,0.156s,PASSED
click,Firefox 60.0,,2018-06-26 21:12:26,2018-06-26 21:12:57,30.946s,FAILED
