Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 13:37:31,2018-07-01 13:38:07,35.480s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 13:37:32,2018-07-01 13:37:43,11.029s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 13:37:32,2018-07-01 13:37:41,9.590s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 13:37:41,2018-07-01 13:37:42,0.221s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 13:37:42,2018-07-01 13:37:42,0.395s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 13:37:42,2018-07-01 13:37:42,0.142s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 13:37:42,2018-07-01 13:37:43,0.410s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 13:37:43,2018-07-01 13:37:43,0.185s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 13:37:43,2018-07-01 13:37:53,9.942s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 13:37:43,2018-07-01 13:37:52,9.088s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 13:37:52,2018-07-01 13:37:52,0.075s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 13:37:52,2018-07-01 13:37:52,0.244s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 13:37:52,2018-07-01 13:37:53,0.227s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 13:37:53,2018-07-01 13:37:53,0.280s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 13:37:53,2018-07-01 13:37:53,0.001s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 13:37:53,2018-07-01 13:37:59,6.245s,PASSED
click,Firefox 61.0,,2018-07-01 13:37:53,2018-07-01 13:37:55,2.161s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 13:37:55,2018-07-01 13:37:56,0.584s,PASSED
click,Firefox 61.0,,2018-07-01 13:37:56,2018-07-01 13:37:57,0.612s,PASSED
click,Firefox 61.0,select activity type,2018-07-01 13:37:57,2018-07-01 13:37:57,0.395s,PASSED
click,Firefox 61.0,,2018-07-01 13:37:57,2018-07-01 13:37:57,0.279s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-01 13:37:57,2018-07-01 13:37:57,0.089s,PASSED
