Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 17:13:51,2018-07-01 17:14:38,47.297s,ERROR
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:13:52,2018-07-01 17:14:07,15.440s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:13:52,2018-07-01 17:14:06,13.755s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:14:06,2018-07-01 17:14:06,0.237s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:14:06,2018-07-01 17:14:06,0.447s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:14:06,2018-07-01 17:14:07,0.254s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:14:07,2018-07-01 17:14:07,0.430s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:14:07,2018-07-01 17:14:07,0.211s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 17:14:07,2018-07-01 17:14:20,12.650s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 17:14:07,2018-07-01 17:14:19,11.612s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 17:14:19,2018-07-01 17:14:19,0.096s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 17:14:19,2018-07-01 17:14:19,0.405s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 17:14:19,2018-07-01 17:14:20,0.173s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 17:14:20,2018-07-01 17:14:20,0.336s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 17:14:20,2018-07-01 17:14:20,0.001s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 17:14:20,2018-07-01 17:14:29,8.649s,PASSED
click,Firefox 61.0,,2018-07-01 17:14:21,2018-07-01 17:14:24,3.058s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 17:14:24,2018-07-01 17:14:25,0.883s,PASSED
click,Firefox 61.0,,2018-07-01 17:14:25,2018-07-01 17:14:25,0.771s,PASSED
click,Firefox 61.0,select activity type,2018-07-01 17:14:25,2018-07-01 17:14:26,0.418s,PASSED
click,Firefox 61.0,,2018-07-01 17:14:26,2018-07-01 17:14:26,0.312s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-01 17:14:26,2018-07-01 17:14:26,0.125s,PASSED
sendKeys,Firefox 61.0,press tab key,2018-07-01 17:14:26,2018-07-01 17:14:26,0.222s,PASSED
click,Firefox 61.0,,2018-07-01 17:14:26,2018-07-01 17:14:27,0.294s,PASSED
setText,Firefox 61.0,enter endTime manually,2018-07-01 17:14:27,2018-07-01 17:14:27,0.084s,PASSED
setText,Firefox 61.0,enter cost,2018-07-01 17:14:27,2018-07-01 17:14:27,0.183s,PASSED
doubleClick,Firefox 61.0,select text field,2018-07-01 17:14:27,2018-07-01 17:14:27,0.341s,PASSED
setText,Firefox 61.0,enter description,2018-07-01 17:14:27,2018-07-01 17:14:28,0.257s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(2.NewActivity_Object_Repository/textarea_form-control ng-untou), ""value"")",Firefox 61.0,assert that description field text returned correctly,2018-07-01 17:14:28,2018-07-01 17:14:28,0.162s,PASSED
"Statement - assert attribute == ""description""",Firefox 61.0,,2018-07-01 17:14:28,2018-07-01 17:14:28,0.002s,PASSED
click,Firefox 61.0,submit button,2018-07-01 17:14:28,2018-07-01 17:14:29,0.777s,PASSED
,,,,,,
Test Cases/3.Create_Invoice/CreateInvoice_TestCase,Firefox 61.0,invoice creation of entered hours.,2018-07-01 17:14:29,2018-07-01 17:14:33,4.855s,PASSED
click,Firefox 61.0,Click on Manage menu,2018-07-01 17:14:29,2018-07-01 17:14:29,0.304s,PASSED
click,Firefox 61.0,Click on Invoivce sub menu,2018-07-01 17:14:29,2018-07-01 17:14:30,0.109s,PASSED
