Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 12:47:38,2018-07-01 12:48:15,36.687s,ERROR
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 12:47:39,2018-07-01 12:47:51,12.358s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 12:47:39,2018-07-01 12:47:49,10.040s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 12:47:49,2018-07-01 12:47:49,0.294s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 12:47:49,2018-07-01 12:47:50,0.633s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 12:47:50,2018-07-01 12:47:50,0.304s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 12:47:50,2018-07-01 12:47:50,0.317s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 12:47:50,2018-07-01 12:47:51,0.673s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 12:47:51,2018-07-01 12:48:00,9.190s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 12:47:51,2018-07-01 12:47:59,8.424s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 12:47:59,2018-07-01 12:47:59,0.059s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 12:47:59,2018-07-01 12:48:00,0.155s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 12:48:00,2018-07-01 12:48:00,0.150s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 12:48:00,2018-07-01 12:48:00,0.292s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 12:48:00,2018-07-01 12:48:00,0.002s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 12:48:00,2018-07-01 12:48:07,6.825s,PASSED
click,Firefox 61.0,,2018-07-01 12:48:01,2018-07-01 12:48:03,2.297s,PASSED
click,Firefox 61.0,select project from control,2018-07-01 12:48:03,2018-07-01 12:48:03,0.465s,PASSED
click,Firefox 61.0,,2018-07-01 12:48:03,2018-07-01 12:48:04,0.675s,PASSED
click,Firefox 61.0,select activity type,2018-07-01 12:48:04,2018-07-01 12:48:04,0.391s,PASSED
click,Firefox 61.0,,2018-07-01 12:48:04,2018-07-01 12:48:05,0.287s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-01 12:48:05,2018-07-01 12:48:05,0.099s,PASSED
sendKeys,Firefox 61.0,press tab key,2018-07-01 12:48:05,2018-07-01 12:48:05,0.135s,PASSED
click,Firefox 61.0,,2018-07-01 12:48:05,2018-07-01 12:48:05,0.293s,PASSED
setText,Firefox 61.0,enter endTime manually,2018-07-01 12:48:05,2018-07-01 12:48:05,0.066s,PASSED
