Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-04 06:54:46,2018-07-04 06:55:33,46.351s,FAILED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-04 06:54:47,2018-07-04 06:55:04,16.745s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-04 06:54:47,2018-07-04 06:55:02,14.463s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-04 06:55:02,2018-07-04 06:55:02,0.631s,PASSED
setText,Firefox 61.0,Fill username,2018-07-04 06:55:02,2018-07-04 06:55:03,0.364s,PASSED
setText,Firefox 61.0,Fill password,2018-07-04 06:55:03,2018-07-04 06:55:03,0.167s,PASSED
click,Firefox 61.0,Click Login,2018-07-04 06:55:03,2018-07-04 06:55:03,0.304s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-04 06:55:03,2018-07-04 06:55:04,0.715s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-04 06:55:04,2018-07-04 06:55:17,13.435s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-04 06:55:04,2018-07-04 06:55:17,12.667s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-04 06:55:17,2018-07-04 06:55:17,0.066s,PASSED
setText,Firefox 61.0,Fill username,2018-07-04 06:55:17,2018-07-04 06:55:17,0.160s,PASSED
setText,Firefox 61.0,Fill password,2018-07-04 06:55:17,2018-07-04 06:55:17,0.159s,PASSED
click,Firefox 61.0,Click Login,2018-07-04 06:55:17,2018-07-04 06:55:17,0.361s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-04 06:55:17,2018-07-04 06:55:17,0.000s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-04 06:55:18,2018-07-04 06:55:23,5.932s,PASSED
click,Firefox 61.0,,2018-07-04 06:55:18,2018-07-04 06:55:20,1.949s,PASSED
click,Firefox 61.0,select project from control,2018-07-04 06:55:20,2018-07-04 06:55:21,0.375s,PASSED
click,Firefox 61.0,,2018-07-04 06:55:21,2018-07-04 06:55:21,0.563s,PASSED
click,Firefox 61.0,select activity type,2018-07-04 06:55:21,2018-07-04 06:55:22,0.402s,PASSED
click,Firefox 61.0,,2018-07-04 06:55:22,2018-07-04 06:55:22,0.313s,PASSED
setText,Firefox 61.0,enter startTime by using variable whose source is data file,2018-07-04 06:55:22,2018-07-04 06:55:22,0.086s,PASSED
sendKeys,Firefox 61.0,press tab key,2018-07-04 06:55:22,2018-07-04 06:55:22,0.103s,PASSED
click,Firefox 61.0,,2018-07-04 06:55:22,2018-07-04 06:55:22,0.245s,PASSED
setText,Firefox 61.0,enter endTime manually,2018-07-04 06:55:22,2018-07-04 06:55:22,0.075s,PASSED
setText,Firefox 61.0,enter cost,2018-07-04 06:55:22,2018-07-04 06:55:22,0.116s,PASSED
doubleClick,Firefox 61.0,select text field,2018-07-04 06:55:22,2018-07-04 06:55:23,0.213s,PASSED
setText,Firefox 61.0,enter description,2018-07-04 06:55:23,2018-07-04 06:55:23,0.318s,PASSED
"Statement - attribute = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(2.NewActivity_Object_Repository/textarea_form-control ng-untou), ""value"")",Firefox 61.0,assert that description field text returned correctly,2018-07-04 06:55:23,2018-07-04 06:55:23,0.048s,PASSED
"Statement - assert attribute == ""description""",Firefox 61.0,,2018-07-04 06:55:23,2018-07-04 06:55:23,0.002s,PASSED
click,Firefox 61.0,submit button,2018-07-04 06:55:23,2018-07-04 06:55:23,0.387s,PASSED
,,,,,,
Test Cases/3.Create_Invoice/CreateInvoice_TestCase,Firefox 61.0,invoice creation of entered hours.,2018-07-04 06:55:23,2018-07-04 06:55:27,3.951s,PASSED
click,Firefox 61.0,Click on Manage menu,2018-07-04 06:55:24,2018-07-04 06:55:24,0.300s,PASSED
click,Firefox 61.0,Click on Invoivce sub menu,2018-07-04 06:55:24,2018-07-04 06:55:24,0.134s,PASSED
click,Firefox 61.0,Click on Create invoice link,2018-07-04 06:55:24,2018-07-04 06:55:25,0.378s,PASSED
click,Firefox 61.0,,2018-07-04 06:55:25,2018-07-04 06:55:26,1.053s,PASSED
click,Firefox 61.0,check box is checked,2018-07-04 06:55:26,2018-07-04 06:55:26,0.306s,PASSED
setText,Firefox 61.0,Tax name entry,2018-07-04 06:55:26,2018-07-04 06:55:26,0.353s,PASSED
setText,Firefox 61.0,tax percentage,2018-07-04 06:55:26,2018-07-04 06:55:27,0.167s,PASSED
setText,Firefox 61.0,text on invoice is entered,2018-07-04 06:55:27,2018-07-04 06:55:27,0.166s,PASSED
setText,Firefox 61.0,hidden note is added,2018-07-04 06:55:27,2018-07-04 06:55:27,0.259s,PASSED
click,Firefox 61.0,create button is clicked,2018-07-04 06:55:27,2018-07-04 06:55:27,0.410s,PASSED
,,,,,,
Test Cases/4.TearDown/TearDown_TestCase,Firefox 61.0,teardown created data,2018-07-04 06:55:27,2018-07-04 06:55:32,4.172s,FAILED
click,Firefox 61.0,delete invoice,2018-07-04 06:55:28,2018-07-04 06:55:28,0.474s,PASSED
click,Firefox 61.0,confirm deletion,2018-07-04 06:55:28,2018-07-04 06:55:29,0.295s,PASSED
waitForElementVisible,Firefox 61.0,,2018-07-04 06:55:29,2018-07-04 06:55:29,0.577s,PASSED
click,Firefox 61.0,click track menu,2018-07-04 06:55:29,2018-07-04 06:55:29,0.088s,PASSED
Statement - While (true),Firefox 61.0,,2018-07-04 06:55:29,2018-07-04 06:55:32,2.266s,FAILED
,,,,,,
Test Cases/5.Logout/Logout_TestCase,Firefox 61.0,logsout from system,2018-07-04 06:55:32,2018-07-04 06:55:33,1.271s,PASSED
click,Firefox 61.0,,2018-07-04 06:55:32,2018-07-04 06:55:32,0.262s,PASSED
click,Firefox 61.0,,2018-07-04 06:55:32,2018-07-04 06:55:32,0.257s,PASSED
closeBrowser,Firefox 61.0,,2018-07-04 06:55:32,2018-07-04 06:55:33,0.447s,PASSED
