Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MyHours_TestSuite,Firefox 61.0,,2018-07-01 14:15:41,2018-07-01 14:16:54,1m - 13.223s,FAILED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 14:15:41,2018-07-01 14:15:54,12.364s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 14:15:41,2018-07-01 14:15:51,9.986s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 14:15:51,2018-07-01 14:15:52,0.249s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 14:15:52,2018-07-01 14:15:52,0.319s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 14:15:52,2018-07-01 14:15:52,0.500s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 14:15:52,2018-07-01 14:15:53,0.509s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 14:15:53,2018-07-01 14:15:54,0.696s,PASSED
,,,,,,
Test Cases/1.Login/Login_TestCase,Firefox 61.0,"Login to system, also verifies unsuccessful login scenario",2018-07-01 14:15:54,2018-07-01 14:16:03,8.973s,PASSED
Start setup action : setup,Firefox 61.0,,2018-07-01 14:15:54,2018-07-01 14:16:02,8.101s,PASSED
waitForElementVisible,Firefox 61.0,wait for elements to be visible,2018-07-01 14:16:02,2018-07-01 14:16:02,0.079s,PASSED
setText,Firefox 61.0,Fill username,2018-07-01 14:16:02,2018-07-01 14:16:02,0.170s,PASSED
setText,Firefox 61.0,Fill password,2018-07-01 14:16:02,2018-07-01 14:16:02,0.266s,PASSED
click,Firefox 61.0,Click Login,2018-07-01 14:16:02,2018-07-01 14:16:03,0.329s,PASSED
Statement - switch (varLoginMessage.toString()),Firefox 61.0,Get expected status for wrong password,2018-07-01 14:16:03,2018-07-01 14:16:03,0.000s,PASSED
,,,,,,
Test Cases/2.TrackActivity/NewActivity_TestCase,Firefox 61.0,crete new activitry scenario is covered,2018-07-01 14:16:03,2018-07-01 14:16:10,6.951s,PASSED
click,Firefox 61.0,,2018-07-01 14:16:03,2018-07-01 14:16:06,2.445s,PASSED
